Crime ID,Offense Datetime,Reported Datetime,UCR Incident Code,Block,Street Name,Street_Address,City,State,ZIP Code,Full_Address,Latitude,Longitude,UCR Category,UCR Description,NIBRS Group,NIBRS Offense Group,Ward,Precinct,ObjectId,x,y
2604027637ME,4/22/2026 9:20:00 PM,4/22/2026 9:35:00 PM,13B,2900,COVINGTON PIKE,2900 COVINGTON PIKE,MEMPHIS,TN,38128,2900 COVINGTON PIKE MEMPHIS TN 38128,35.206,-89.894,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,126,AUSTIN PEAY,721033,-10006954.3053705,4191911.07930158
2604027749ME,4/23/2026 1:50:00 AM,4/23/2026 2:14:00 AM,13A,900,PORTER ST,900 PORTER ST,MEMPHIS,TN,38108,900 PORTER ST MEMPHIS TN 38108,35.122,-90.036,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,A,CRIMES AGAINST PERSONS,422,CRUMP,721035,-10022761.6730632,4180472.84108588
2604027747ME,4/23/2026 1:15:00 AM,4/23/2026 1:51:00 AM,13A,800,N THIRD ST,800 N THIRD ST,MEMPHIS,TN,38107,800 N THIRD ST MEMPHIS TN 38107,35.166,-90.042,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,A,CRIMES AGAINST PERSONS,625,NORTH MAIN,721036,-10023429.5900079,4186462.82578735
2604027418ME,4/22/2026 5:44:00 AM,4/22/2026 6:03:00 AM,13A,1900,NANTUCKET DR,1900 NANTUCKET DR,MEMPHIS,TN,38109,1900 NANTUCKET DR MEMPHIS TN 38109,35.009,-90.129,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,A,CRIMES AGAINST PERSONS,221,RAINES,721037,-10033114.385707,4165104.275386
2604027669ME,4/22/2026 10:10:00 PM,4/22/2026 10:39:00 PM,13A,0,JACKSON AVE//I40E ST, JACKSON AVE//I40E ST,MEMPHIS,TN,38128, JACKSON AVE//I40E ST MEMPHIS TN 38128,35.193,-89.926,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,A,CRIMES AGAINST PERSONS,526,TILLMAN,721038,-10010516.5290759,4190140.10272089
2604027460ME,4/21/2026 8:00:00 PM,4/22/2026 1:18:00 PM,290,3300,THOMAS ST,3300 THOMAS ST,MEMPHIS,TN,38127,3300 THOMAS ST MEMPHIS TN 38127,35.218,-90.03,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,121,AUSTIN PEAY,721039,-10022093.7561184,4193546.07857297
2604027768ME,4/23/2026 12:05:00 AM,4/23/2026 4:05:00 AM,23C,1600,UNION AVE,1600 UNION AVE,MEMPHIS,TN,38108,1600 UNION AVE MEMPHIS TN 38108,35.135,-90.006,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,423,CRUMP,721040,-10019422.0883394,4182242.27230941
2604027759ME,4/23/2026 1:42:00 AM,4/23/2026 2:52:00 AM,23F,700,MENDENHALL RD,700 MENDENHALL RD,MEMPHIS,TN,38122,700 MENDENHALL RD MEMPHIS TN 38122,35.151,-89.898,LARCENY/THEFT,THEFT FROM A MOTOR VEHICLE,A,CRIMES AGAINST PROPERTY,522,TILLMAN,721041,-10007399.5833337,4184420.42171069
2604027716ME,4/22/2026 10:50:00 PM,4/23/2026 12:28:00 AM,23H,6100,WINCHESTER RD,6100 WINCHESTER RD,MEMPHIS,TN,38141,6100 WINCHESTER RD MEMPHIS TN 38141,35.051,-89.859,LARCENY/THEFT,ALL OTHER LARCENY,A,CRIMES AGAINST PROPERTY,925,RIDGEWAY,721042,-10003058.1231928,4170814.00200148
2604027355ME,4/22/2026 12:42:00 AM,4/22/2026 12:42:00 AM,13C,1000,HAMILTON ST,1000 HAMILTON ST,MEMPHIS,TN,38114,1000 HAMILTON ST MEMPHIS TN 38114,35.107,-89.977,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,726,AIRWAYS,721045,-10016193.8231064,4178431.54053223
